MovieID;Title;Genre;ReleaseYear;ReleaseDate;Country;BudgetUSD;US_BoxOfficeUSD;Global_BoxOfficeUSD;Opening_Day_SalesUSD;One_Week_SalesUSD;IMDbRating;RottenTomatoesScore;NumVotesIMDb;NumVotesRT;Director;LeadActor
1;Might toward capital;Comedy;2003;28/9/2003;China;657742779;661368582;1547203566;177853085;303405332;62;58;7865;10596;Kristina Moore;Brian Mccormick
2;He however experience;Comedy;1988;14/2/1988;USA;18838101;193094915;363773112;24711574;83182884;52;44;1708;220;Benjamin Hudson;Ashley Pena
3;Star responsibility politics;Comedy;1971;2/11/1971;USA;246807929;418669469;716511124;87845395;217140593;55;55;4678;7805;Kayla Young;Alexander Haley
4;Exactly live;Comedy;1998;6/8/1998;USA;144731146;202368392;437382026;57065772;89888601;73;87;2467;1751;Michael Ross;Patrick Barnett
5;Focus improve especially;Documentary;2021;17/12/2021;India;90091586;21296291;311301738;36118937;86177591;61;67;5555;697;Faith Franklin;Duane Fletcher DDS
6;Deal reveal fine;Drama;1996;9/5/1996;USA;635605811;679042062;123321927;187725188;368152422;89;100;362;229;Thomas Peterson;Carolyn Calhoun
7;Drug when;Comedy;1991;24/9/1991;USA;3088164004;3556949973;616333227;577155963;2130587004;36;39;556;98;Maria Lane;Melissa Cain
8;Almost option of;Horror;1990;4/8/1990;USA;524974892;356956324;605915685;42997259;151306666;73;75;283;1219;Diane Skinner;Catherine Willis
9;Film about training;Drama;1983;12/3/1983;USA;474621815;636149382;95061399;161232112;297711488;69;69;1041;1467;Albert Phillips;Ashley Reeves
10;Begin difficult world;Documentary;2005;6/9/2005;USA;135468621;383706191;674706542;44066737;203177694;84;87;10079;514;Francisco Ford;Richard Miller
11;Eight;Documentary;1999;17/9/1999;USA;366720198;794588626;124904136;1360084;409087355;67;63;426;456;Mark Brooks;Jacqueline Cooper
12;Score by attorney;Comedy;2001;29/6/2001;India;99557882;21209103;377145073;43840243;118065522;87;86;22577;1782;Robert Webster;Nicholas Richards
13;Nice piece near;Drama;1984;18/7/1984;USA;34745161;192132686;472039332;26411544;83433997;44;43;23965;445;Michelle Collins;Paige Gonzalez
14;Among money;Drama;1967;29/5/1967;USA;200346613;2801289;56181029;53886531;158409022;46;55;2457;1664;Philip Simmons;Kristy Faulkner
15;Purpose miss others show;Action;1963;18/8/1963;USA;850142016;621174719;909715427;162348087;298704085;65;78;934;1602;Patricia Munoz;Sharon Riley
16;Similar off;Drama;1983;3/3/1983;USA;2562459173;3256991494;6763992685;683951513;1876659857;5;38;2912;53;Jason Jones;Thomas Hill
17;Accept past she somebody;Horror;2019;7/4/2019;USA;2010987391;4537663688;9671088385;475242569;1970575717;42;36;8691;3326;Mr. Jorge Anderson;Daniel Hughes
18;Memory blue;Thriller;1963;4/9/1963;USA;403675647;898323019;1717225841;163375384;462180117;81;82;24249;50;Mr. Jorge Anderson;Casey Lloyd
19;Sport just score;Drama;2009;23/11/2009;India;118435693;145983177;234452983;43518088;67750519;42;55;14306;644;Amanda Cantrell;Christopher Hanson
20;Mrs close hotel;Comedy;2004;5/4/2004;USA;1675708888;1356781368;2695881272;149691268;655006804;74;80;594;136;Kimberly Barker;Kimberly Ray
21;Agree garden;Romance;2005;23/2/2005;USA;27302295;22683503;41936089;6475405;10624316;7;77;46809;684;Rachel Hayes;Michael Martinez
22;Short phone sometimes product;Drama;2003;26/8/2003;USA;207760568;12088081;207760568;1868963;69962415;55;55;27847;6812;Sophia Gomez;Nathan Nelson
23;Identify;Drama;2013;7/10/2013;USA;284643628;542081526;917259582;129396686;282931933;53;49;2103;490;Robert Webster;Victoria Phillips
24;Large over the;Comedy;2014;11/3/2014;India;1610635721;1082625471;1610635721;319494801;601676518;67;82;7987;296;Colleen Willis;Cody Peters
25;Picture value;Drama;2008;12/8/2008;USA;972347121;2335908854;4041619423;370561128;945607351;66;69;23341;199;Mark Brooks;Tonya Campbell
